CO_CODE	DIST_CODE	SCH_CODE	TOTAL
01	0010	050	14.3
01	0010	060	22.2
01	0110	010	14.6
01	0110	030	20.0
01	0110	050	20.4
01	0110	060	25.4
01	0110	070	17.4
01	0110	080	16.8
01	0110	100	17.4
01	0110	120	17.0
01	0110	130	
01	0110	140	16.5
01	0125	030	6.7
01	0125	060	6.1
01	0570	010	21.0
01	0570	030	12.6
01	0590	025	20.3
01	0590	030	17.8
01	0590	045	18.4
01	0590	050	18.0
01	0590	053	22.6
01	0590	055	20.3
01	1300	020	13.1
01	1300	030	16.0
01	1310	005	20.6
01	1310	033	18.4
01	1310	035	20.6
01	1310	038	18.1
01	1310	039	21.8
01	1310	045	23.5
01	1310	050	17.1
01	1410	050	21.6
01	1540	050	20.9
01	1690	015	20.4
01	1690	016	20.9
01	1690	040	9.8
01	1690	045	21.1
01	1690	046	17.3
01	1690	048	19.9
01	1790	040	19.5
01	1790	050	19.4
01	1790	060	19.2
01	1940	055	16.7
01	1940	060	22.9
01	1940	120	20.7
01	1960	030	19.7
01	1960	050	24.1
01	1960	055	22.8
01	1960	060	20.8
01	2680	020	21.8
01	2680	050	15.5
01	2910	050	21.1
01	3020	010	16.5
01	3020	025	17.8
01	3480	020	20.1
01	3480	025	19.7
01	3720	056	16.9
01	3720	057	20.0
01	4180	050	11.7
01	4180	055	11.8
01	4180	060	12.0
01	4180	080	16.5
01	4180	085	10.7
01	4180	095	12.2
01	4180	100	9.6
01	4240	050	12.8
01	4800	050	15.5
01	4800	055	18.2
01	4800	060	15.2
01	5350	040	22.5
01	5350	045	18.4
01	5760	020	14.1
03	0040	010	22.2
03	0040	020	21.9
03	0080	010	17.1
03	0285	002	3.5
03	0285	003	3.1
03	0285	030	3.5
03	0285	040	16.8
03	0285	050	3.8
03	0285	070	8.4
03	0285	100	3.1
03	0290	030	
03	0300	020	17.5
03	0300	040	19.7
03	0300	050	17.4
03	0300	060	19.1
03	0300	070	14.5
03	0300	075	15.9
03	0300	080	20.5
03	0440	020	23.0
03	0440	030	19.3
03	0440	050	19.7
03	0740	050	21.1
03	0745	050	14.1
03	0890	030	17.9
03	0890	050	21.8
03	0890	060	16.5
03	0890	070	22.1
03	0890	080	18.7
03	0890	120	22.9
03	0930	050	19.0
03	0930	060	21.2
03	0990	040	18.9
03	0990	045	22.6
03	0990	050	22.0
03	0990	060	22.6
03	1070	030	16.9
03	1070	040	19.9
03	1070	050	18.8
03	1130	040	15.7
03	1130	050	19.1
03	1130	060	21.2
03	1130	070	18.9
03	1130	080	18.6
03	1230	040	15.4
03	1230	080	25.6
03	1270	050	22.0
03	1345	050	16.9
03	1345	060	26.7
03	1345	070	22.9
03	1345	080	22.6
03	1345	090	21.9
03	1360	050	20.7
03	1360	060	20.2
03	1360	070	18.2
03	1370	040	18.8
03	1370	060	18.7
03	1370	070	14.0
03	1370	076	22.1
03	1370	086	16.0
03	1380	040	11.2
03	1380	060	14.9
03	1450	050	18.2
03	1450	060	21.3
03	1450	070	18.5
03	1450	080	16.9
03	1450	085	16.9
03	1450	100	19.3
03	1450	110	21.6
03	1450	140	21.0
03	1450	160	16.4
03	1470	060	25.0
03	1470	065	24.0
03	1470	080	27.0
03	1550	050	18.2
03	1550	060	23.3
03	1550	070	20.0
03	1550	080	22.2
03	1550	090	24.3
03	1550	100	26.3
03	1580	015	17.6
03	1580	020	14.8
03	1580	030	18.3
03	1580	040	16.4
03	1700	040	13.9
03	1700	050	20.9
03	1700	060	18.2
03	1700	070	16.8
03	1700	080	19.4
03	1700	100	20.9
03	1700	120	17.7
03	1700	130	20.3
03	1700	140	17.5
03	1700	205	16.9
03	1760	050	17.7
03	1760	060	17.1
03	1760	065	19.1
03	1760	070	19.8
03	1760	080	17.6
03	1760	090	18.3
03	1860	050	19.0
03	1860	090	15.1
03	1860	100	17.7
03	1860	110	13.2
03	1860	120	18.1
03	1860	130	16.1
03	1860	140	18.2
03	2050	050	16.1
03	2080	050	20.0
03	2080	055	25.8
03	2080	060	21.3
03	2080	080	20.0
03	2090	050	11.1
03	2180	010	22.6
03	2180	020	17.0
03	2180	030	19.0
03	2200	050	20.0
03	2620	050	18.2
03	2620	055	19.2
03	2620	060	18.3
03	2710	030	19.7
03	2710	050	0.5
03	2740	050	22.4
03	2740	060	18.7
03	2740	065	17.0
03	2740	067	18.2
03	2740	080	16.0
03	2740	090	18.7
03	2740	100	16.9
03	2860	050	22.9
03	2860	060	22.2
03	2860	070	26.7
03	2860	080	17.4
03	2860	090	23.1
03	2860	110	24.7
03	2860	120	18.9
03	2900	050	22.1
03	2900	060	19.7
03	2900	065	17.0
03	2900	075	15.5
03	2900	076	22.2
03	2900	080	23.4
03	3060	060	23.2
03	3060	070	20.0
03	3170	050	7.0
03	3170	070	12.6
03	3330	020	15.7
03	3330	030	22.9
03	3350	060	13.4
03	3550	050	22.4
03	3550	060	18.1
03	3550	070	21.8
03	3550	085	26.5
