CO_CODE	DIST_CODE	SCH_CODE	TOTDRP
01	0110	010	0.0
01	0110	888	4.8
01	0590	025	0.0
01	0590	888	1.2
01	1310	005	0.0
01	1310	888	0.6
01	1790	040	0.0
01	1790	050	0.0
01	1790	060	0.0
01	1790	888	1.9
01	1960	050	0.1
01	1960	888	1.4
01	2910	050	0.0
01	2910	888	1.7
01	4180	050	0.0
01	4180	888	6.3
03	0300	020	0.0
03	0300	888	0.1
03	0440	020	0.0
03	0440	888	0.8
03	0745	050	0.0
03	0745	888	0.6
03	0890	030	0.0
03	0890	888	3.8
03	0990	040	0.0
03	1130	040	0.0
03	1345	050	0.0
03	1345	888	0.4
03	1360	050	0.0
03	1370	040	0.0
03	1450	050	0.0
03	1450	888	0.3
03	1550	050	0.0
03	1550	888	0.6
03	1700	050	0.0
03	1700	888	0.6
03	1760	050	0.0
03	1860	050	0.0
03	1860	888	0.2
03	2080	050	0.0
03	2080	888	0.8
03	2620	050	0.0
03	2740	050	0.0
03	2740	888	1.0
03	2860	050	0.0
03	2860	888	2.5
03	2900	050	0.0
03	2900	888	1.1
03	3170	050	0.0
03	3550	050	0.0
03	3550	888	0.2
03	3600	050	0.0
03	3600	888	1.5
03	3700	050	0.0
03	3700	888	0.1
03	3710	050	0.0
03	3710	060	0.0
03	3710	888	0.0
03	3910	050	0.0
03	3910	888	0.2
03	3930	050	0.0
03	3930	888	0.7
03	3940	050	0.0
03	3960	040	0.0
03	3960	050	0.0
03	3960	888	0.2
03	4300	030	0.0
03	4300	050	0.0
03	4300	888	0.3
03	4310	050	0.0
03	4310	888	0.3
03	4370	050	0.0
03	4380	050	0.0
03	4380	888	1.0
03	4390	050	0.0
03	4390	888	0.1
03	4405	050	0.0
03	4405	888	0.2
03	4600	050	0.0
03	4600	888	0.7
03	4610	050	0.0
03	4610	888	2.0
03	5150	050	0.0
03	5150	888	0.4
03	5160	050	0.0
03	5410	030	0.0
03	5410	888	0.7
03	5430	050	0.0
03	5430	888	0.8
03	5755	050	0.0
03	5830	050	0.0
03	5830	888	0.8
05	0475	050	0.0
05	0475	888	1.4
05	0600	020	0.0
05	0600	888	3.3
05	0620	010	0.0
05	0620	888	0.7
05	0840	030	0.0
05	0840	888	0.7
05	1060	005	0.0
05	1520	050	0.0
05	1520	888	0.7
05	2610	040	0.0
05	2610	050	0.0
05	2610	060	0.0
05	2610	070	0.0
05	2610	888	0.5
05	3010	030	0.0
05	3010	888	1.5
05	3360	040	0.0
05	3360	888	0.3
05	3690	050	0.0
05	3690	888	1.2
05	3920	050	0.0
05	4050	050	0.0
05	4050	055	0.0
05	4050	888	1.4
05	4320	050	0.0
05	4320	888	0.9
05	4450	050	0.0
05	4450	888	3.8
05	5805	053	0.0
05	5805	888	6.5
07	0150	010	0.0
07	0150	888	0.4
07	0390	020	0.0
