"cnty"	"dist"	"schl"	"cntyname"	"distname"	"schlname"	"DFG"	"ttltstd"	"ttlpapnum"	"percpass"	"percpassdfg"	"diff"
"01"	"0010"	"   "	"ATLANTIC  "	"ABSECON CITY"	""	"CD"	1155.00	848.99	73.50	68.63	4.86
"01"	"0010"	"050"	"ATLANTIC  "	"ABSECON CITY"	"EMMA C ATTALES          "	"CD"	724.00	529.90	73.19	68.63	4.55
"01"	"0010"	"060"	"ATLANTIC  "	"ABSECON CITY"	"H. ASHTON MARSH E.S. "	"CD"	429.00	319.07	74.37	68.63	5.73
"01"	"0110"	"   "	"ATLANTIC"	"ATLANTIC CITY"	""	"A "	6469.00	3460.98	53.50	51.53	1.96
"01"	"0110"	"010"	"ATLANTIC"	"ATLANTIC CITY"	"ATLANTIC CITY H.S."	"A "	842.00	564.98	67.10	51.53	15.56
"01"	"0110"	"030"	"ATLANTIC  "	"ATLANTIC CITY"	"SOVEREIGN AVE SCHOOL     "	"A "	1074.00	600.05	55.87	51.53	4.33
"01"	"0110"	"050"	"ATLANTIC  "	"ATLANTIC CITY"	"CHELSEA HEIGHTS          "	"A "	581.00	450.97	77.62	51.53	26.08
"01"	"0110"	"060"	"ATLANTIC  "	"ATLANTIC CITY"	"TEXAS AVENUE             "	"A "	784.00	389.13	49.63	51.53	-1.90
"01"	"0110"	"070"	"ATLANTIC  "	"ATLANTIC CITY"	"NEW YORK AVENUE SCHOOL   "	"A "	768.00	294.05	38.28	51.53	-13.24
"01"	"0110"	"080"	"ATLANTIC  "	"ATLANTIC CITY"	"UPTOWN SCHOOL COMPLEX    "	"A "	824.00	338.18	41.04	51.53	-10.49
"01"	"0110"	"100"	"ATLANTIC  "	"ATLANTIC CITY"	"NEW JERSEY AVE           "	"A "	333.00	172.95	51.93	51.53	0.40
"01"	"0110"	"120"	"ATLANTIC  "	"ATLANTIC CITY"	"RICHMOND AVE             "	"A "	483.00	311.01	64.39	51.53	12.85
"01"	"0110"	"140"	"ATLANTIC  "	"ATLANTIC CITY"	"DR M L KING JR SCH COMP  "	"A "	780.00	338.95	43.45	51.53	-8.07
"01"	"0120"	"   "	"ATLANTIC"	"ATLANTIC COUNTY VOC"	""	"V "	266.00	257.08	96.65	87.99	8.65
"01"	"0120"	"010"	"ATLANTIC"	"ATLANTIC COUNTY VOC"	"ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY"	"V "	266.00	257.08	96.65	87.99	8.65
"01"	"0570"	"   "	"ATLANTIC  "	"BRIGANTINE CITY"	""	"CD"	1042.00	713.83	68.50	68.63	-0.13
"01"	"0570"	"010"	"ATLANTIC  "	"BRIGANTINE CITY"	"BRIGANTINE ELEM SCHOOL "	"CD"	446.00	314.86	70.59	68.63	1.95
"01"	"0570"	"030"	"ATLANTIC  "	"BRIGANTINE CITY"	"BRIGANTINE NORTH SCHOOL  "	"CD"	596.00	398.96	66.94	68.63	-1.69
"01"	"0590"	"   "	"ATLANTIC"	"BUENA REGIONAL"	""	"A "	2662.00	1805.96	67.84	51.53	16.30
"01"	"0590"	"025"	"ATLANTIC"	"BUENA REGIONAL"	"BUENA REGIONAL H.S."	"A "	477.00	375.01	78.62	51.53	27.08
"01"	"0590"	"030"	"ATLANTIC  "	"BUENA REGIONAL"	"CLEARY MIDDLE SCHOOL     "	"A "	1036.00	678.98	65.53	51.53	14.00
"01"	"0590"	"045"	"ATLANTIC  "	"BUENA REGIONAL"	"COLLINGS LAKE ELEM SCH   "	"A "	328.00	204.06	62.21	51.53	10.67
"01"	"0590"	"053"	"ATLANTIC  "	"BUENA REGIONAL"	"EDGARTON MEMORIAL ELEM SC"	"A "	321.00	204.99	63.86	51.53	12.32
"01"	"0590"	"055"	"ATLANTIC  "	"BUENA REGIONAL"	"JOHN C. MILANESI ELEM SCH"	"A "	500.00	343.02	68.60	51.53	17.06
"01"	"1300"	"   "	"ATLANTIC  "	"EGG HARBOR CITY"	""	"A "	546.00	272.96	49.99	51.53	-1.54
"01"	"1300"	"020"	"ATLANTIC  "	"EGG HARBOR CITY"	"CHARLES L. SPRAGG E.S. "	"A "	87.00	38.01	43.70	51.53	-7.83
"01"	"1300"	"030"	"ATLANTIC  "	"EGG HARBOR CITY"	"COMMUNITY SCHOOL"	"A "	459.00	234.94	51.18	51.53	-0.34
"01"	"1310"	"   "	"ATLANTIC"	"EGG HARBOR TOWNSHIP"	""	"CD"	9002.00	6162.48	68.45	68.63	-0.18
"01"	"1310"	"005"	"ATLANTIC"	"EGG HARBOR TOWNSHIP"	"EGG HARBOR TOWNSHIP H.S."	"CD"	1264.00	1034.10	81.81	68.63	13.17
"01"	"1310"	"033"	"ATLANTIC  "	"EGG HARBOR TOWNSHIP"	"CLAYTON J. DAVENPORT E.S. "	"CD"	434.00	269.08	62.00	68.63	-6.63
"01"	"1310"	"035"	"ATLANTIC  "	"EGG HARBOR TOWNSHIP"	"E.H. SLAYBAUGH E.S. "	"CD"	437.00	344.93	78.93	68.63	10.29
"01"	"1310"	"038"	"ATLANTIC  "	"EGG HARBOR TOWNSHIP"	"ALDER AVENUE MIDDLE"	"CD"	1642.00	1041.53	63.43	68.63	-5.20
"01"	"1310"	"039"	"ATLANTIC  "	"EGG HARBOR TOWNSHIP"	"FERNWOOD AVENUE MIDDLE"	"CD"	1967.00	1298.94	66.03	68.63	-2.60
"01"	"1310"	"045"	"ATLANTIC  "	"EGG HARBOR TOWNSHIP"	"DR. JOYANNE D MILLER ELEMENTARY"	"CD"	2996.00	1966.11	65.62	68.63	-3.01
"01"	"1310"	"050"	"ATLANTIC  "	"EGG HARBOR TOWNSHIP"	"H. RUSSELL SWIFT E.S. "	"CD"	262.00	208.94	79.75	68.63	11.11
"01"	"1410"	"   "	"ATLANTIC  "	"ESTELL MANOR CITY"	""	"DE"	287.00	234.01	81.53	75.81	5.72
