"ID"	"grade"	"cnty"	"dist"	"schl"	"cntyname"	"distname"	"schlname"	"DFG"	"valscllang"	"pplang"	"plang"	"aplang"	"mnscllang"	"paplang"	"paplangnum"	"valsclmath"	"ppmath"	"pmath"	"apmath"	"mnsclmath"	"papmath"	"papmathnum"	"valsclsci"	"ppsci"	"psci"	"apsci"	"mnsclsci"	"papsci"	"papscinum"	"ttltstd"	"ttlpapnam"
1	"11"	"01"	"0110"	"   "	"ATLANTIC"	"ATLANTIC CITY"	""	"A "	"421"	"24.2"	"65.6"	"10.2"	"215.5"	75.80	319.11	"421"	"41.6"	"47.0"	"11.4"	"206.8"	58.40	245.86	""	""	""					842.00	564.98
2	"11"	"01"	"0110"	"010"	"ATLANTIC"	"ATLANTIC CITY"	"ATLANTIC CITY H.S."	"A "	"421"	"24.2"	"65.6"	"10.2"	"215.5"	75.80	319.11	"421"	"41.6"	"47.0"	"11.4"	"206.8"	58.40	245.86	""	""	""					842.00	564.98
3	"11"	"01"	"0120"	"   "	"ATLANTIC"	"ATLANTIC COUNTY VOC"	""	"V "	"133"	"0.8"	"82.0"	"17.3"	"239.2"	99.30	132.06	"133"	"6.0"	"65.4"	"28.6"	"235.0"	94.00	125.02	""	""	""					266.00	257.08
4	"11"	"01"	"0120"	"010"	"ATLANTIC"	"ATLANTIC COUNTY VOC"	"ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY"	"V "	"133"	"0.8"	"82.0"	"17.3"	"239.2"	99.30	132.06	"133"	"6.0"	"65.4"	"28.6"	"235.0"	94.00	125.02	""	""	""					266.00	257.08
5	"11"	"01"	"0590"	"   "	"ATLANTIC"	"BUENA REGIONAL"	""	"A "	"239"	"11.7"	"79.5"	"8.8"	"225.2"	88.30	211.03	"238"	"31.1"	"56.7"	"12.2"	"213.7"	68.90	163.98	""	""	""					477.00	375.01
6	"11"	"01"	"0590"	"025"	"ATLANTIC"	"BUENA REGIONAL"	"BUENA REGIONAL H.S."	"A "	"239"	"11.7"	"79.5"	"8.8"	"225.2"	88.30	211.03	"238"	"31.1"	"56.7"	"12.2"	"213.7"	68.90	163.98	""	""	""					477.00	375.01
7	"11"	"01"	"1310"	"   "	"ATLANTIC"	"EGG HARBOR TOWNSHIP"	""	"CD"	"633"	"10.4"	"73.3"	"16.3"	"229.6"	89.60	567.16	"631"	"26.0"	"52.6"	"21.4"	"220.8"	74.00	466.94	""	""	""					1264.00	1034.10
8	"11"	"01"	"1310"	"005"	"ATLANTIC"	"EGG HARBOR TOWNSHIP"	"EGG HARBOR TOWNSHIP H.S."	"CD"	"633"	"10.4"	"73.3"	"16.3"	"229.6"	89.60	567.16	"631"	"26.0"	"52.6"	"21.4"	"220.8"	74.00	466.94	""	""	""					1264.00	1034.10
9	"11"	"01"	"1790"	"060"	"ATLANTIC"	"GREATER EGG HARBOR REGION"	"CEDAR CREEK HS"	"CD"	"162"	"7.4"	"75.9"	"16.7"	"230.1"	92.60	150.01	"162"	"29.0"	"59.3"	"11.7"	"215.2"	71.00	115.02	""	""	""					324.00	265.03
10	"11"	"01"	"1790"	"050"	"ATLANTIC"	"GREATER EGG HARBOR REGION"	"OAKCREST H.S."	"CD"	"264"	"9.8"	"71.2"	"18.9"	"229.1"	90.10	237.86	"264"	"29.2"	"51.5"	"19.3"	"217.3"	70.80	186.91	""	""	""					528.00	424.77
